Function                                                                                                                                                                                                                                                                                                                                                                                         Module                     CPU Time  Spin Time  Overhead Time
_INTERNAL_24_______src_tbb_market_cpp_3f34bbdd::__TBB_machine_fetchadd4                                                                                                                                                                                                                                                                                                                          libtbb.so.2                  0.001s         0s             0s
_INTERNAL_27_______src_tbb_scheduler_cpp_3f34bbdd::__TBB_machine_cmpswp8                                                                                                                                                                                                                                                                                                                         libtbb.so.2                  0.001s         0s             0s
_INTERNAL_31_______src_tbb_spin_rw_mutex_cpp_3f34bbdd::__TBB_machine_cmpswp8                                                                                                                                                                                                                                                                                                                     libtbb.so.2                  0.001s         0s             0s
_INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_cmpswp4                                                                                                                                                                                                                                                                                                                    libtbb.so.2                  0.001s         0s             0s
_INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_fetchstore1                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.001s         0s             0s
_INTERNAL_32_______src_tbb_private_server_cpp_3f34bbdd::__TBB_machine_pause                                                                                                                                                                                                                                                                                                                      libtbb.so.2                  0.001s         0s             0s
_IO_no_init                                                                                                                                                                                                                                                                                                                                                                                      libc-2.12.so                 0.001s         0s             0s
__TBB_TryLockByte                                                                                                                                                                                                                                                                                                                                                                                libtbb.so.2                  0.001s         0s             0s
__cxxabiv1::__vmi_class_type_info::__do_dyncast                                                                                                                                                                                                                                                                                                                                                  libstdc++.so.6.0.13          0.001s         0s             0s
__itt_stack_caller_create                                                                                                                                                                                                                                                                                                                                                                        libittnotify_collector.so    0.001s         0s             0s
__mpn_mul                                                                                                                                                                                                                                                                                                                                                                                        libc-2.12.so                 0.001s         0s             0s
__mpn_rshift                                                                                                                                                                                                                                                                                                                                                                                     libc-2.12.so                 0.001s         0s             0s
__slowexp                                                                                                                                                                                                                                                                                                                                                                                        libm-2.12.so                 0.001s         0s             0s
__strcmp_sse42                                                                                                                                                                                                                                                                                                                                                                                   libc-2.12.so                 0.001s         0s             0s
__sub                                                                                                                                                                                                                                                                                                                                                                                            libm-2.12.so                 0.001s         0s             0s
do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                      ld-2.12.so                   0.001s         0s             0s
func@0x8150                                                                                                                                                                                                                                                                                                                                                                                      libittnotify_collector.so    0.001s         0s             0s
